,Date,Breed,Age,Sex,Altered,Borough,Zipcode
167,April 18 2015,NA,NA,U,FALSE,Brooklyn,11220
168,April 19 2015,Italian Mastiff,3,F,FALSE,Brooklyn,11221
169,April 12 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
170,April 17 2015,Jack Russell Terrier Mix,4,M,TRUE,Brooklyn,11224
171,April 16 2015,NA,NA,U,FALSE,Brooklyn,NA
172,April 19 2015,American Pitbull Terrier,5,M,TRUE,Brooklyn,11218
173,April 12 2015,NA,NA,U,FALSE,Brooklyn,NA
174,April 22 2015,Maltese,7,F,TRUE,Brooklyn,11237
175,April 23 2015,Cane Corso,15,F,FALSE,Brooklyn,11238
176,April 22 2015,NA,NA,U,FALSE,Brooklyn,NA
177,April 23 2015,Parson Russellterr,2,M,TRUE,Brooklyn,11231
178,April 24 2015,Poodle,NA,U,FALSE,Brooklyn,11221
179,April 25 2015,Shih Tzu,5,M,TRUE,Brooklyn,11219
180,April 26 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11212
181,April 25 2015,American Pitbull Terrier,3,M,FALSE,Brooklyn,11221
182,April 27 2015,American Pitbull Terrier,2,M,FALSE,Brooklyn,11218
183,April 20 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11218
184,April 25 2015,Unknown,NA,U,FALSE,Brooklyn,11201
185,April 25 2015,German Shepherd,7,M,TRUE,Brooklyn,11234
186,April 11 2015,American Pitbull Terrier,3,F,TRUE,Brooklyn,11220
187,April 29 2015,Pug,3,M,TRUE,Brooklyn,11223
188,April 29 2015,Pointer/Beagle X,7,F,FALSE,Brooklyn,11249
189,April 29 2015,Shiba Inu,5,M,TRUE,Brooklyn,11221
190,April 30 2015,NA,NA,U,FALSE,Brooklyn,11220
191,April 26 2015,Chihuahua,2,F,FALSE,Brooklyn,11220
192,April 30 2015,German Shepherd/Ridgeback,5,M,TRUE,Brooklyn,11231
193,May 01 2015,Bichon Frise,8,M,TRUE,Brooklyn,11223
194,May 01 2015,Staffordshire Terr,7,F,TRUE,Brooklyn,11221
195,April 19 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11223
196,May 02 2015,Chihuahua Mix,NA,U,FALSE,Brooklyn,11214
197,May 02 2015,Border Collie,14,M,TRUE,Brooklyn,11234
198,May 04 2015,American Pitbull Terrier Mix,0.667,M,FALSE,Brooklyn,11204
199,May 04 2015,Belgian Malinois,NA,U,FALSE,Brooklyn,11213
200,May 01 2015,Boxer,2,M,TRUE,Brooklyn,11237
201,May 03 2015,NA,NA,U,FALSE,Brooklyn,11216
202,May 01 2015,Maltese - X,3,F,FALSE,Brooklyn,11209
203,May 05 2015,German Shepherd,NA,U,FALSE,Brooklyn,11220
204,May 01 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
205,May 06 2015,Collie, Smooth Coat,10,F,TRUE,Brooklyn,11220
206,April 29 2015,NA,7,M,FALSE,Brooklyn,11204
207,May 06 2015,Chihuahua/Boston Terr X,5,M,TRUE,Brooklyn,11222
208,April 08 2015,Husky/Cattle Dog Mix,4,M,TRUE,Brooklyn,NA
209,April 08 2015,Husky/Cattle Mix,4,M,TRUE,Brooklyn,NA
210,May 10 2015,American Pitbull Terrier,13,M,TRUE,Brooklyn,11234
211,May 10 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11228
212,May 09 2015,Siberian Husky,14,M,TRUE,Brooklyn,11231
213,May 09 2015,American Pitbull Terrier Mix,5,F,TRUE,Brooklyn,11208
214,May 01 2015,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11217
215,May 09 2015,NA,NA,U,FALSE,Brooklyn,NA
216,May 03 2015,American Pitbull Terrier,NA,F,FALSE,Brooklyn,11231
217,May 11 2015,NA,NA,U,FALSE,Brooklyn,NA
218,May 07 2015,Australian Shepherd,5,M,TRUE,Brooklyn,11238
219,May 08 2015,NA,NA,U,FALSE,Brooklyn,11209
220,May 09 2015,American Pitbull Terrier,8,M,TRUE,Brooklyn,11219
221,May 11 2015,American Pitbull Terrier,2,F,FALSE,Brooklyn,11218
222,April 25 2015,Shih Tzu,4,M,TRUE,Brooklyn,11226
223,May 03 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
224,May 10 2015,American Pitbull Terrier Mix,3,F,FALSE,Brooklyn,NA
225,May 12 2015,American Pitbull Terrier Mix,5,M,TRUE,Brooklyn,11213
226,April 30 2015,NA,NA,U,FALSE,Brooklyn,NA
227,May 12 2015,Bloodhound,4,M,TRUE,Brooklyn,11231
228,May 12 2015,Jack Russell Terrier,10,M,TRUE,Brooklyn,11215
229,May 14 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11211
230,May 14 2015,Cocker Spaniel, American,10,M,TRUE,Brooklyn,11220
231,May 09 2015,Siberian Husky,NA,U,FALSE,Brooklyn,NA
232,May 14 2015,American Pitbull Terrier,6,M,FALSE,Brooklyn,11232
233,May 12 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
234,April 28 2015,American Pitbull Terrier Mix,1,M,TRUE,Brooklyn,11234
235,May 15 2015,Cocker Spaniel Mix,NA,M,FALSE,Brooklyn,11205
236,May 18 2015,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
237,May 17 2015,NA,NA,U,FALSE,Brooklyn,NA
238,January 08 2015,American Pitbull Terrier,1,M,TRUE,Brooklyn,11224
239,May 12 2015,Cane Corso,5,F,TRUE,Brooklyn,11233
240,May 05 2015,Terrier,NA,U,FALSE,Brooklyn,NA
241,May 17 2015,NA,NA,U,FALSE,Brooklyn,11226
242,May 18 2015,NA,NA,U,FALSE,Brooklyn,NA
243,May 16 2015,Border Collie/Jack Russell,0.917,F,TRUE,Brooklyn,NA
244,May 06 2015,Corgi,NA,M,FALSE,Brooklyn,11222
245,May 21 2015,Shih Tzu,NA,U,FALSE,Brooklyn,11229
246,May 21 2015,NA,NA,U,FALSE,Brooklyn,11233
247,May 20 2015,NA,1,F,TRUE,Brooklyn,11201
248,May 24 2015,Mixed,2,M,TRUE,Brooklyn,NA
249,May 24 2015,Pit Bull/Lab X,2,F,FALSE,Brooklyn,11236
250,May 24 2015,Labrador Retriever,NA,U,FALSE,Brooklyn,11215
251,May 24 2015,NA,1,M,FALSE,Brooklyn,11207
252,May 22 2015,NA,NA,U,FALSE,Brooklyn,NA
253,May 25 2015,Labrador Retriever,3,F,FALSE,Brooklyn,11234
254,May 25 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
255,May 23 2015,Tibetan Mastiff,1,M,TRUE,Brooklyn,11214
256,May 23 2015,Maltese Mix,4,M,TRUE,Brooklyn,NA
257,May 24 2015,Schnauzer,NA,M,FALSE,Brooklyn,11215
258,May 18 2015,NA,NA,U,FALSE,Brooklyn,11220
259,May 23 2015,NA,NA,U,FALSE,Brooklyn,NA
260,May 27 2015,NA,NA,U,FALSE,Brooklyn,11226
261,May 28 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
262,May 24 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
263,May 23 2015,American Pitbull Terrier Mix,6,M,TRUE,Brooklyn,11205
264,May 28 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
265,May 28 2015,American Pitbull Terrier Mix,3,M,FALSE,Brooklyn,11236
266,May 26 2015,Saint Bernard,NA,U,FALSE,Brooklyn,11214
267,May 28 2015,Chihuahua,NA,U,FALSE,Brooklyn,11208
268,May 30 2015,West High White Terrier,4,M,FALSE,Brooklyn,11224
269,May 31 2015,Chihuahua,1,M,FALSE,Brooklyn,11207
270,May 30 2015,Border Collie,NA,U,FALSE,Brooklyn,11211
271,May 29 2015,Lab Mix,8,F,TRUE,Brooklyn,11229
272,May 30 2015,NA,NA,U,FALSE,Brooklyn,11207
273,May 28 2015,NA,NA,U,FALSE,Brooklyn,11232
274,May 31 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
275,June 01 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11207
276,June 02 2015,Chow Chow,1,M,FALSE,Brooklyn,11233
277,June 02 2015,Doberman Pinscher,7,M,TRUE,Brooklyn,11228
278,June 01 2015,Yorkshire Terrier,2,M,FALSE,Brooklyn,11217
279,May 27 2015,Teacup Yorkie,NA,U,FALSE,Brooklyn,NA
280,June 03 2015,Shorky,8,M,TRUE,Brooklyn,11238
281,May 31 2015,Havanese X,4,M,TRUE,Brooklyn,11236
282,May 27 2015,Blue Heeler X,9,M,TRUE,Brooklyn,11237
283,June 04 2015,American Pitbull Terrier,3,F,TRUE,Brooklyn,11226
284,June 04 2015,American Pitbull Terrier,4,M,FALSE,Brooklyn,11226
285,June 04 2015,Yorkshire Terrier,2,M,TRUE,Brooklyn,11214
286,June 05 2015,NA,NA,U,FALSE,Brooklyn,11232
287,June 06 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
288,June 06 2015,Chow Chow,4,M,FALSE,Brooklyn,11234
289,June 05 2015,Lhasa Apso,5,M,TRUE,Brooklyn,11231
290,June 06 2015,Poodle,3,M,TRUE,Brooklyn,11234
291,June 07 2015,German Shorthaired Pointer,8,F,TRUE,Brooklyn,11231
292,June 07 2015,NA,NA,U,FALSE,Brooklyn,NA
293,May 30 2015,Schnoodle,NA,U,FALSE,Brooklyn,11211
294,May 30 2015,Chow Chow,2,M,FALSE,Brooklyn,11208
295,June 09 2015,NA,NA,U,FALSE,Brooklyn,NA
296,June 05 2015,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11221
297,June 10 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
298,June 09 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
299,June 10 2015,NA,5,M,FALSE,Brooklyn,11223
300,June 10 2015,Cane Corso,2,M,FALSE,Brooklyn,11224
301,June 09 2015,English Setter,6,M,FALSE,Brooklyn,NA
302,May 07 2015,NA,6,F,FALSE,Brooklyn,11226
303,June 09 2015,American Pitbull Terrier Mix,2,F,FALSE,Brooklyn,11208
304,June 09 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
305,June 12 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11233
306,June 12 2015,Maltese,NA,U,FALSE,Brooklyn,11235
307,June 12 2015,NA,NA,U,FALSE,Brooklyn,11222
308,June 14 2015,Terrier Mix,6,M,TRUE,Brooklyn,NA
309,June 06 2015,NA,NA,U,FALSE,Brooklyn,NA
310,June 14 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11208
311,June 13 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
312,June 14 2015,Jack Russell Terrier,3,F,TRUE,Brooklyn,NA
313,June 12 2015,NA,NA,U,FALSE,Brooklyn,11220
314,June 14 2015,NA,NA,U,FALSE,Brooklyn,NA
