,Month,Day,Year,Breed,Age,Sex,Altered,Borough,Zipcode
202,April,25,2016,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11206
203,April,30,2016,Chihuahua,9,M,TRUE,Brooklyn,11230
204,May,09,2016,American Pitbull Terrier,2,M,TRUE,Brooklyn,11208
205,May,10,2016,Golden Retriever,11,M,TRUE,Brooklyn,11217
206,May,09,2016,Unknown,NA,U,FALSE,Brooklyn,11221
207,May,05,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11231
208,May,10,2016,Shih Tzu,2,M,FALSE,Brooklyn,11234
209,May,08,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
210,May,11,2016,American Pitbull Terrier Mix,1,U,FALSE,Brooklyn,11210
211,May,07,2016,NA,NA,U,FALSE,Brooklyn,11226
212,May,11,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11212
213,May,09,2016,American Pitbull Terrier Mix,4,M,TRUE,Brooklyn,11234
214,May,12,2016,Beagle Mix,4,M,TRUE,Brooklyn,11223
215,May,14,2016,American Pitbull Terrier,4,U,FALSE,Brooklyn,11208
216,May,14,2016,Unknown,NA,U,FALSE,Brooklyn,11235
217,May,12,2016,Poodle Mix,12,M,TRUE,Brooklyn,11237
218,May,09,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11234
219,May,17,2016,German Shorthaired Pointer,0.917,M,FALSE,Brooklyn,11220
220,May,11,2016,Jack Russell Terrier,7,M,TRUE,Brooklyn,11238
221,May,12,2016,NA,NA,U,FALSE,Brooklyn,NA
222,May,13,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
223,May,14,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11238
224,May,15,2016,American Pitbull Terrier,9,M,FALSE,Brooklyn,11209
225,May,17,2016,American Staffordshire Terrier,2,M,TRUE,Brooklyn,11208
226,May,17,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11236
227,May,17,2016,Rottweiler,1,M,TRUE,Brooklyn,11204
228,May,18,2016,Unknown,NA,M,TRUE,Brooklyn,11201
229,May,20,2016,Unknown,5,M,FALSE,Brooklyn,11216
230,May,19,2016,American Pitbull Terrier,1,F,TRUE,Brooklyn,11216
231,May,23,2016,Poodle,2,M,FALSE,Brooklyn,11212
232,May,22,2016,American Pitbull Terrier,8,M,FALSE,Brooklyn,11229
233,May,22,2016,Terrier,NA,U,FALSE,Brooklyn,11221
234,May,23,2016,NA,NA,U,FALSE,Brooklyn,11211
235,May,24,2016,Unknown,NA,F,TRUE,Brooklyn,11206
236,May,22,2016,American Pitbull Terrier,NA,M,FALSE,Brooklyn,11231
237,May,12,2016,Rottweiler,2,M,TRUE,Brooklyn,11215
238,May,22,2016,Terrier,NA,U,FALSE,Brooklyn,11237
239,May,23,2016,Yorkshire Terrier,1,M,TRUE,Brooklyn,11236
240,May,21,2016,Korean Jindo,7,M,TRUE,Brooklyn,11234
241,May,18,2016,NA,NA,U,FALSE,Brooklyn,NA
242,May,23,2016,Beagle,NA,M,TRUE,Brooklyn,NA
243,May,25,2016,Terrier,NA,U,FALSE,Brooklyn,11209
244,May,25,2016,Weimaraner,4,M,TRUE,Brooklyn,11234
245,May,22,2016,Gold Retriever/Lab/Chow Chow X,1,M,TRUE,Brooklyn,11211
246,May,26,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
247,May,19,2016,American Pitbull Terrier,6,M,TRUE,Brooklyn,11230
248,May,27,2016,American Pitbull Terrier,11,M,TRUE,Brooklyn,11234
249,May,26,2016,Bull Terrier,5,M,FALSE,Brooklyn,11226
250,May,26,2016,German Shepherd,8,F,FALSE,Brooklyn,11204
251,May,25,2016,NA,NA,U,FALSE,Brooklyn,11220
252,May,29,2016,NA,NA,U,FALSE,Brooklyn,11220
253,May,29,2016,Poodle,NA,U,FALSE,Brooklyn,11213
254,May,24,2016,NA,NA,U,FALSE,Brooklyn,NA
255,May,26,2016,NA,NA,U,FALSE,Brooklyn,11226
256,May,27,2016,Cocker Spaniel,0.417,F,FALSE,Brooklyn,11234
257,June,01,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
258,June,01,2016,American Pitbull Terrier,4,M,FALSE,Brooklyn,11236
259,June,01,2016,NA,NA,U,FALSE,Brooklyn,11203
260,June,02,2016,German Shepherd,NA,U,FALSE,Brooklyn,11237
261,June,02,2016,Boxer,NA,U,FALSE,Brooklyn,11210
262,June,01,2016,NA,NA,U,FALSE,Brooklyn,11237
263,June,03,2016,American Pitbull Terrier,NA,M,FALSE,Brooklyn,11234
264,June,01,2016,Akita,NA,U,FALSE,Brooklyn,11234
